SITE_ID,YEAR,CALANOIDA,COLLOTHECACEAE,CYCLOPOIDA,DIPLOSTRACA,DIPTERA,FLOSCULARIACEAE,HARPACTICOIDA,PLOIMA,NA,POECILOSTOMATOIDA,TROMBIDIFORMES,MYSIDA,ACICULATA,CANALIPALPATA,DECAPODA,PODOCOPIDA,SESSILIA,VENEROIDA,AMPHIPODA,ARGULOIDA,ANOSTRACA,COLOR,PTL,NTL,SECCHI,CHLA
NLA12_AL-101,2012,0.8597424410769231,0.0469846915,2.5317633611333332,2.3363854434090907,NA,0.130160459,0.007368394,1.7858017392439025,1.5436024097142858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,27.5,0.4405,1.9249999999999998,17.759999999999998
NLA12_AL-102,2012,3.3537921048,0.048851867,7.869389299285714,0.23894031566666668,NA,0.1778283625,NA,0.18117207456,1.325274012,0.135882353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,12,0.389,0.675,10
NLA12_AL-103,2012,0.16039574450000002,0.001432036,0.9569538972,0.32597097975,NA,0.066759236,NA,0.6488981937,0.848672373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,56,0.449,0.775,32
NLA12_AL-104,2012,0.877310973375,4.59459e-4,0.9826654187777778,0.7948126235384615,NA,0.06717397883333333,NA,0.16010495433333333,0.218873239,1.171270755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,37,0.344,0.75,8.945454545
NLA12_AL-105,2012,25.192877236333334,0.104381264,3.0072266607142857,0.2490618625,NA,4.421788899,NA,2.2412511911666666,10.448299654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,82,1.464,0.475,90.28
NLA12_AL-112,2012,NA,NA,0.38946980033333334,0.12963964733333333,NA,0.090693141,NA,1.4304325061818182,3.088478581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,33,0.379,1.05,9.386666667
NLA12_AL-113,2012,3.3618039286666668,0.010028053,0.027274435,2.2650063925,NA,0.690159981,NA,0.02639699,0.327605644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,27,0.248,1.45,1.27
NLA12_AL-114,2012,0.0713184595,0.240364787,0.7398172915,0.074123725,NA,0.10159232433333333,NA,1.0690372786875,2.606367643,0.033073418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,62,0.51,0.65,17.5
NLA12_AL-R03,2012,4.55018650225,0.002265217,2.2783296475,1.947777309857143,NA,0.14163903966666666,NA,0.109577256625,5.212153823,0.237428247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,31,0.126,1.675,5.968
NLA12_AL-R05,2012,1.3762727283333334,0.036597609,1.309884938,15.194105705999998,NA,0.10787673199999999,NA,0.04380596233333334,1.168044316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,24,0.326,1.65,6.088
NLA12_AR-101,2012,2.065871020111111,0.056995439,0.2648638327142857,0.07733270728571429,NA,1.715928739153846,NA,0.8203531542,3.5680310852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,84,0.8555,0.6125,39.58
NLA12_AR-102,2012,5.456152659857143,NA,0.8766108816666667,0.6969284320000001,NA,3.1529786974285714,NA,1.1056566437142858,8.5854169385,0.533085453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,151,1.536,0.3,74
NLA12_AR-103,2012,0.047468127666666665,0.00200234,0.33690976833333336,0.446123709,NA,0.23076731422222221,NA,0.8729972352,0.778463127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,15,0.311,3.24,4.944
NLA12_AR-104,2012,5.7555501825,NA,0.48750888000000003,2.5399940760833335,NA,0.2291785826,NA,0.44046645973333337,0.9897688950000001,1.4805642813333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,30,0.175,1.84,6.624
NLA12_AR-105,2012,0.5664569523333334,NA,0.8149882465,47.589194948285716,NA,0.8671639185,NA,0.93452526845,0.41609318450000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5,36.5,0.5375,1.3,9.461333334999999
NLA12_AR-106,2012,15.301939493333334,NA,8.01945859325,0.693961747,NA,0.674916226,NA,3.5665850581666665,11.86071601,5.905117527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,107,1.385,0.48,59.2
NLA12_AR-109,2012,10.078599435666666,NA,20.322682266250002,32.66185937575,NA,4.661476202,NA,0.3706635603333333,2.6132967805000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,39,0.656,1.65,10.32
NLA12_AR-111,2012,42.57491574,NA,15.041938893333333,260.81911805,NA,0.031011894,NA,23.055588262,8.625695954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,121,0.744,0.575,23.89333333
NLA12_AZ-101,2012,0.014921646,0.007439229,0.21091385842857144,0.054163595307692304,NA,0.017707688,NA,0.33608212210714283,0.6824034604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,45.5,0.33799999999999997,2.55,5.0006666665
NLA12_AZ-102,2012,2.4085768363333333,NA,29.215657128500002,103.6221023544,NA,0.040466719,NA,2.6313502923333334,3.7918295395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,631,2.045,NA,32.3
NLA12_AZ-103,2012,51.50024349214286,NA,1.3930614086666666,180.4807972916,NA,10.347171908,NA,NA,0.4378845865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,259,1.055,0.55,15.34
NLA12_AZ-106,2012,0.086758132,NA,0.7959368846,0.4539728535714286,NA,0.0251695015,NA,2.440014679,1.4935720950000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,37,0.571,1.5,5.244
NLA12_AZ-107,2012,55.122203636,NA,0.555552829,4.204186327666666,NA,0.014862855,NA,0.0016521346666666665,4.458036264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,234,0.628,0.225,10.42
NLA12_AZ-118,2012,NA,NA,0.057193471499999995,0.38992603200000003,NA,0.004597743,NA,0.29762381466666665,0.934390867,0.109103217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,38,0.483,1.55,1.3
NLA12_AZ-123,2012,0.28711074766666667,NA,NA,0.073019551,NA,0.016647732,NA,0.0628046732,0.11176314100000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,392,4.094,0.03,253.8
NLA12_AZ-127,2012,0.6338604925,NA,64.84477992725,4.940271315666667,NA,0.010536848,NA,0.125670866,1.2910449385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,147,0.554,0.29,13.056
NLA12_AZ-130,2012,NA,0.813112871,0.11084068550000001,0.12293668116666667,NA,0.449372196,NA,0.9406718645333333,0.23886191666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,62,0.2985,2.3,7.1933333335
NLA12_AZ-140,2012,16.852690694,NA,0.98206701,157.1714855,NA,0.8982064163333333,NA,0.9875029265,1.312955,0.237516465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,38,0.571,0.85,6.453333333
NLA12_AZ-143,2012,NA,NA,30.00421030933333,29.6143036305,NA,NA,NA,0.2436839076,2.326684704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,75,1.201,1.725,13.51111111
NLA12_AZ-145,2012,NA,0.648683076,1.1509627453333333,0.138748614,NA,2.309565402,NA,0.5964977141111111,0.84482641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,244,1.775,1.05,39.2
NLA12_AZ-157,2012,9.56526935,NA,2.6532728425,27.040350856,NA,NA,NA,2.8218708426666668,7.280115037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,882,3.888,0.275,241.2
NLA12_AZ-R01,2012,6.3734793875,NA,2.8490811545,5.0634351488,NA,0.22706398849999998,NA,1.7186776703333335,1.060194552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,11,0.253,NA,3.3075
NLA12_AZ-R02,2012,43.252706094666664,NA,121.69003851,424.57007071500004,NA,0.7705290276666666,NA,16.077242293875003,16.28358046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,79,0.76,0.3,8.52
NLA12_CA-101,2012,4.4428638961875,0.08060071725,10.158722063777779,21.09584164619355,NA,0.37589562842857144,NA,0.7983706807631579,1.7623374208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,30.65,0.47350000000000003,1.385,14
NLA12_CA-102,2012,53.88661030316667,NA,109.61735768833333,84.2642629167,NA,0.9589310705,NA,4.59152153125,50.94917007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,23.9,1.39,0.39,99
NLA12_CA-103,2012,0.109647905,0.008122445,0.38680776633333336,9.3645307892,NA,NA,NA,0.05597297271428572,0.07371112166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4.1,0.322,10.59,0.2
NLA12_CA-104,2012,0.6441059285,0.021193697999999997,0.19259470966666664,2.702864489875,NA,3.43193e-4,0.003388836,0.06380744166666667,0.1872333515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4.9,0.435,8.78,2.2
NLA12_CA-105,2012,0.2547412846,NA,0.1167206925,0.16369408316666667,NA,0.016791734,NA,0.6687289443333334,2.1322119905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,688,0.551,0.65,12
NLA12_CA-106,2012,NA,NA,168.97909870066667,NA,NA,NA,NA,110.22385856146153,8.619947283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,591,3.83,0.31,176
NLA12_CA-107,2012,2.218422728,0.022826336,0.0816461655,7.979028298499999,NA,2.929846666666667e-4,NA,0.053004837624999995,0.0977905265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10.2,0.149,5.3,3.8
NLA12_CA-108,2012,0.091091044,3.92e-5,0.5002158418,0.43784487899999996,NA,0.002461306,NA,0.13164073923529412,0.025303205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4.8,0.156,6.38,9
NLA12_CA-111,2012,NA,0.082044402,0.0234827,0.39066603266666666,NA,0.4394248815,NA,1.8906443256,0.6232350280000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,5.65,0.0741,3.5625,2.35
NLA12_CA-112,2012,5.723709082,NA,33.136286692999995,17.0895011865,NA,10.03610691,NA,0.144737800875,2.264577267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7.5,0.167,4.81,3.4
NLA12_CA-116,2012,2.457462196,0.016554999,0.6964933233333334,2.1008707994,NA,0.020959819,NA,0.0264156108,0.528742867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,62.6,0.0626,9.605,1.4
